"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Croatia"," Data source"," All types","10.32","9.89","10.64","11.64","11.92","12.43","12.11"
"Croatia"," Data source"," Beer","4.59","4.50","4.26","4.62","4.57","4.74","4.50"
"Croatia"," Data source"," Wine","4.03","3.68","4.67","5.36","5.70","6.05","5.99"
"Croatia"," Data source"," Spirits","1.34","1.34","1.33","1.28","1.25","1.21","1.20"
"Croatia"," Data source"," Other alcoholic beverages","0.36","0.36","0.37","0.37","0.40","0.43","0.43"
"Cuba"," Data source"," All types","4.59","4.60","4.48","4.32","4.15","4.15","4.10"
"Cuba"," Data source"," Beer","1.71","1.78","1.73","1.69","1.65","1.63","1.61"
"Cuba"," Data source"," Wine","0.23","0.23","0.23","0.23","0.08","0.08","0.06"
"Cuba"," Data source"," Spirits","2.63","2.57","2.51","2.38","2.40","2.43","2.42"
"Cuba"," Data source"," Other alcoholic beverages","0.02","0.02","0.01","0.02","0.02","0.02","0.02"
"Cyprus"," Data source"," All types","","9.55","9.59","9.04","10.56","10.70","11.32"
"Cyprus"," Data source"," Beer","","2.84","3.21","3.30","3.48","3.53","3.78"
"Cyprus"," Data source"," Wine","","2.71","2.78","2.48","2.61","2.56","2.67"
"Cyprus"," Data source"," Spirits","","4.00","3.60","3.25","4.47","4.61","4.86"
"Cyprus"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Czechia"," Data source"," All types","12.99","12.82","13.06","12.84","12.97","12.61","12.65"
"Czechia"," Data source"," Beer","6.92","6.90","7.15","7.15","7.15","6.79","6.79"
"Czechia"," Data source"," Wine","2.77","2.67","2.70","2.60","2.65","2.58","2.58"
"Czechia"," Data source"," Spirits","3.30","3.25","3.21","3.09","3.17","3.25","3.28"
"Czechia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea"," Data source"," All types","","3.35","3.35","3.35","3.61","3.39","3.12"
"Democratic People's Republic of Korea"," Data source"," Beer","","0.09","0.09","0.09","0.09","0.15","0.16"
"Democratic People's Republic of Korea"," Data source"," Wine","","0","0","0","0","0","0"
