"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Brunei Darussalam"," Data source"," All types","0.25","0.66","0.84","0.66","0.16","0.11","0.12","0.13","0.47","0.37"
"Brunei Darussalam"," Data source"," Beer","0.18","0.59","0.77","0.50","0.09","0.08","0.09","0.09","0.20","0.19"
"Brunei Darussalam"," Data source"," Wine","0.01","0.02","0.02","0.03","0.02","0.02","0.02","0.01","0.04","0.03"
"Brunei Darussalam"," Data source"," Spirits","0.05","0.05","0.06","0.11","0.05","0.01","0.02","0.03","0.23","0.15"
"Brunei Darussalam"," Data source"," Other alcoholic beverages","0","0","0","0.02","0","0","0","0","0","0.40"
"Bulgaria"," Data source"," All types","10.96","11.01","10.92","10.42","10.53","10.97","11.19","10.61","11.21","10.08"
"Bulgaria"," Data source"," Beer","4.03","4.41","4.41","3.96","3.56","3.52","3.30","2.98","3.22","2.99"
"Bulgaria"," Data source"," Wine","2.02","1.73","1.70","1.58","1.95","2.09","2.93","2.75","3.23","2.43"
"Bulgaria"," Data source"," Spirits","4.84","4.80","4.73","4.80","4.93","5.29","4.96","4.88","4.77","4.65"
"Bulgaria"," Data source"," Other alcoholic beverages","0.07","0.07","0.07","0.07","0.09","0.06","0","0","0","0"
"Burkina Faso"," Data source"," All types","4.57","4.47","4.58","4.72","4.91","4.55","4.60","4.52","4.55","3.74"
"Burkina Faso"," Data source"," Beer","0.46","0.46","0.45","0.44","0.44","0.42","0.41","0.41","0.39","0.40"
"Burkina Faso"," Data source"," Wine","0.13","0.09","0.07","0.07","0.09","0.09","0.10","0.07","0.08","0.08"
"Burkina Faso"," Data source"," Spirits","0.14","0.13","0.20","0.50","0.43","0.17","0.21","0.27","0.23","0.29"
"Burkina Faso"," Data source"," Other alcoholic beverages","3.84","3.80","3.86","3.70","3.94","3.87","3.87","3.76","3.86","2.97"
"Burundi"," Data source"," All types","4.05","4.33","4.54","4.50","5.54","5.81","5.94","6.08","6.19","6.72"
"Burundi"," Data source"," Beer","1.37","1.40","1.42","1.40","1.19","1.17","1.11","1.00","0.98","1.43"
"Burundi"," Data source"," Wine","0","0","0","0","0.01","0.01","0","0.01","0.01","0.01"
"Burundi"," Data source"," Spirits","0","0","0.01","0.01","0","0","0","0","0","0"
"Burundi"," Data source"," Other alcoholic beverages","2.68","2.93","3.11","3.10","4.34","4.63","4.82","5.08","5.20","5.27"
"Cabo Verde"," Data source"," All types","4.45","4.18","5.32","4.30","4.38","4.31","4.30","3.94","3.95","3.59"
"Cabo Verde"," Data source"," Beer","2.21","1.98","2.05","1.95","2.28","1.97","2.40","2.16","2.20","2.17"
"Cabo Verde"," Data source"," Wine","1.76","1.89","2.53","1.88","1.96","1.81","1.42","1.50","1.27","0.95"
"Cabo Verde"," Data source"," Spirits","0.48","0.31","0.74","0.47","0.14","0.53","0.46","0.27","0.48","0.47"
"Cabo Verde"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0.01","0.01","0","0"
"Cambodia"," Data source"," All types","1.41","1.34","1.28","1.17","1.10","0.90","0.83","0.74","0.61","0.60"
"Cambodia"," Data source"," Beer","1.04","0.98","0.93","0.83","0.77","0.58","0.53","0.48","0.36","0.34"
"Cambodia"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0.01"
"Cambodia"," Data source"," Spirits","0.36","0.36","0.35","0.34","0.33","0.32","0.30","0.26","0.25","0.26"
"Cambodia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Cameroon"," Data source"," All types","6.08","5.57","5.33","5.26","5.20","5.32","5.29","5.20","5.04","4.50"
"Cameroon"," Data source"," Beer","2.71","2.30","2.11","2.08","2.10","2.42","2.36","2.36","2.27","2.07"
"Cameroon"," Data source"," Wine","0.08","0.07","0.07","0.08","0.08","0.08","0.08","0.08","0.09","0.07"
"Cameroon"," Data source"," Spirits","0","0","0","0","0.02","0.07","0.06","0.04","0.04","0.02"
"Cameroon"," Data source"," Other alcoholic beverages","3.28","3.19","3.14","3.10","3.00","2.76","2.78","2.73","2.64","2.34"
"Canada"," Data source"," All types","8.40","8.30","8.30","8.20","8.00","7.80","7.80","7.70","7.70","7.70"
"Canada"," Data source"," Beer","4.20","4.20","4.20","4.20","4.20","4.20","4.20","4.20","4.20","4.30"
"Canada"," Data source"," Wine","1.90","1.80","1.80","1.70","1.60","1.50","1.50","1.40","1.40","1.30"
"Canada"," Data source"," Spirits","2.10","2.10","2.10","2.10","2.00","2.10","2.10","2.10","2.10","2.10"
"Canada"," Data source"," Other alcoholic beverages","0.20","0.20","0.20","0.20","0.20","0","0","0","0","0"
"Central African Republic"," Data source"," All types","1.62","1.71","1.68","1.63","1.66","1.61","1.62","1.62","1.68","1.69"
"Central African Republic"," Data source"," Beer","0.30","0.31","0.28","0.26","0.22","0.25","0.27","0.30","0.37","0.41"
"Central African Republic"," Data source"," Wine","0.01","0.01","0.01","0.01","0.08","0.01","0.01","0.02","0.02","0.03"
"Central African Republic"," Data source"," Spirits","0.04","0.02","0.03","0.04","0.03","0.03","0.04","0.02","0.04","0.02"
"Central African Republic"," Data source"," Other alcoholic beverages","1.28","1.37","1.36","1.33","1.33","1.32","1.30","1.28","1.25","1.23"
